Date,FIPS Code,County,Confirmed Cases,Deaths
2021-12-19,1001,Autauga,10669,159
2021-12-19,1003,Baldwin,38506,592
2021-12-19,1005,Barbour,3723,81
2021-12-19,1007,Bibb,4397,95
2021-12-19,1009,Blount,10959,195
2021-12-19,1011,Bullock,1542,46
2021-12-19,1013,Butler,3491,102
2021-12-19,1015,Calhoun,22803,525
2021-12-19,1017,Chambers,5864,145
2021-12-19,1019,Cherokee,3266,64
2021-12-19,1021,Chilton,7216,172
2021-12-19,1023,Choctaw,959,30
2021-12-19,1025,Clarke,4878,87
2021-12-19,1027,Clay,2556,69
2021-12-19,1029,Cleburne,2574,60
2021-12-19,1031,Coffee,9512,194
2021-12-19,1033,Colbert,9465,213
2021-12-19,1035,Conecuh,1948,62
2021-12-19,1037,Coosa,1889,48
2021-12-19,1039,Covington,7052,199
2021-12-19,1041,Crenshaw,2643,79
2021-12-19,1043,Cullman,16467,307
2021-12-19,1045,Dale,9133,193
2021-12-19,1047,Dallas,5357,212
2021-12-19,1049,DeKalb,13239,275
2021-12-19,1051,Elmore,16186,296
2021-12-19,1053,Escambia,6996,148
2021-12-19,1055,Etowah,20225,526
2021-12-19,1057,Fayette,3363,86
2021-12-19,1059,Franklin,6442,109
2021-12-19,1061,Geneva,4707,137
2021-12-19,1063,Greene,1313,45
2021-12-19,1065,Hale,3230,89
2021-12-19,1067,Henry,3256,66
2021-12-19,1069,Houston,18014,429
2021-12-19,1071,Jackson,10362,200
2021-12-19,1073,Jefferson,117532,2021
2021-12-19,1075,Lamar,2560,55
2021-12-19,1077,Lauderdale,15286,312
2021-12-19,1079,Lawrence,4913,133
2021-12-19,1081,Lee,25924,266
2021-12-19,1083,Limestone,16417,226
2021-12-19,1085,Lowndes,1790,68
2021-12-19,1087,Macon,2496,68
2021-12-19,1089,Madison,54436,755
2021-12-19,1091,Marengo,3435,93
2021-12-19,1093,Marion,5480,132
2021-12-19,1095,Marshall,19071,321
2021-12-19,1097,Mobile,74899,1390
2021-12-19,1099,Monroe,3396,66
2021-12-19,1101,Montgomery,34971,789
2021-12-19,1103,Morgan,22893,419
2021-12-19,1105,Perry,1424,41
2021-12-19,1107,Pickens,3381,91
2021-12-19,1109,Pike,5192,111
