"","FIPS Code","County","State","Population","Mask Usage","Confirmed Cases","Deaths"
"1",1001,"Autauga","AL",55869,0.75075,10669,159
"2",1003,"Baldwin","AL",223234,0.742,38506,592
"3",1005,"Barbour","AL",24686,0.732,3723,81
"4",1007,"Bibb","AL",22394,0.837,4397,95
"5",1009,"Blount","AL",57826,0.723,10959,195
"6",1011,"Bullock","AL",10101,0.7965,1542,46
"7",1013,"Butler","AL",19448,0.6955,3491,102
"8",1015,"Calhoun","AL",113605,0.65925,22803,525
"9",1017,"Chambers","AL",33254,0.74625,5864,145
"10",1019,"Cherokee","AL",26196,0.72575,3266,64
"11",1021,"Chilton","AL",44428,0.81,7216,172
"12",1023,"Choctaw","AL",12589,0.80475,959,30
"13",1025,"Clarke","AL",23622,0.735,4878,87
"14",1027,"Clay","AL",13235,0.59275,2556,69
"15",1029,"Cleburne","AL",14910,0.631,2574,60
"16",1031,"Coffee","AL",52342,0.6905,9512,194
"17",1033,"Colbert","AL",55241,0.72925,9465,213
"18",1035,"Conecuh","AL",12067,0.6855,1948,62
"19",1037,"Coosa","AL",10663,0.6975,1889,48
"20",1039,"Covington","AL",37049,0.60325,7052,199
"21",1041,"Crenshaw","AL",13772,0.713,2643,79
"22",1043,"Cullman","AL",83768,0.67225,16467,307
"23",1045,"Dale","AL",49172,0.71225,9133,193
"24",1047,"Dallas","AL",37196,0.72,5357,212
"25",1051,"Elmore","AL",81209,0.76125,16186,296
"26",1053,"Escambia","AL",36633,0.70125,6996,148
"27",1055,"Etowah","AL",102268,0.70725,20225,526
"28",1057,"Fayette","AL",16302,0.69125,3363,86
"29",1059,"Franklin","AL",31362,0.73025,6442,109
"30",1061,"Geneva","AL",26271,0.64075,4707,137
"31",1063,"Greene","AL",8111,0.825,1313,45
"32",1065,"Hale","AL",14651,0.8395,3230,89
"33",1067,"Henry","AL",17205,0.7335,3256,66
"34",1069,"Houston","AL",105882,0.72125,18014,429
"35",1071,"Jackson","AL",51626,0.724,10362,200
"36",1073,"Jefferson","AL",658573,0.825,117532,2021
"37",1075,"Lamar","AL",13805,0.746,2560,55
"38",1077,"Lauderdale","AL",92729,0.7035,15286,312
"39",1079,"Lawrence","AL",32924,0.67125,4913,133
"40",1081,"Lee","AL",164542,0.78425,25924,266
"41",1083,"Limestone","AL",98915,0.722,16417,226
"42",1085,"Lowndes","AL",9726,0.704,1790,68
"43",1087,"Macon","AL",18068,0.80275,2496,68
"44",1089,"Madison","AL",372909,0.79575,54436,755
"45",1091,"Marengo","AL",18863,0.74825,3435,93
"46",1093,"Marion","AL",29709,0.64725,5480,132
"47",1095,"Marshall","AL",96774,0.74925,19071,321
"48",1097,"Mobile","AL",413210,0.7575,74899,1390
"49",1099,"Monroe","AL",20733,0.69525,3396,66
"50",1101,"Montgomery","AL",226486,0.75725,34971,789
"51",1103,"Morgan","AL",119679,0.74725,22893,419
"52",1105,"Perry","AL",8923,0.82275,1424,41
"53",1107,"Pickens","AL",19930,0.80125,3381,91
"54",1109,"Pike","AL",33114,0.685,5192,111
"55",1111,"Randolph","AL",22722,0.585,3422,67
"56",1113,"Russell","AL",57961,0.7865,7188,66
"57",1117,"Shelby","AL",217702,0.80275,38921,378
"58",1119,"Sumter","AL",12427,0.78575,1412,42
"59",1121,"Talladega","AL",79978,0.62925,14435,304
"60",1123,"Tallapoosa","AL",40367,0.71975,7424,204
"61",1125,"Tuscaloosa","AL",209355,0.79825,36542,649
"62",1127,"Walker","AL",63521,0.71375,12375,387
"63",1129,"Washington","AL",16326,0.7955,2576,51
"64",1131,"Wilcox","AL",10373,0.71925,1797,38
"65",1133,"Winston","AL",23629,0.62475,4852,111
"66",4001,"Apache","AZ",71887,0.84475,15912,534
"67",4003,"Cochise","AZ",125922,0.80625,19538,440
"68",4005,"Coconino","AZ",143476,0.8395,26684,404
"69",4007,"Gila","AZ",54018,0.8175,11840,294
"70",4009,"Graham","AZ",38837,0.725,8868,149
"71",4011,"Greenlee","AZ",9498,0.7165,1439,24
"72",4012,"La Paz","AZ",21108,0.79675,3563,105
"73",4013,"Maricopa","AZ",4485414,0.88825,841448,13343
"74",4015,"Mohave","AZ",212181,0.784,37824,1125
"75",4017,"Navajo","AZ",110924,0.76275,26198,725
"76",4019,"Pima","AZ",1047279,0.89225,167950,3052
"77",4021,"Pinal","AZ",462789,0.83975,86291,1259
"78",4023,"Santa Cruz","AZ",46498,0.922,10268,203
"79",4025,"Yavapai","AZ",235099,0.82975,35320,908
"80",4027,"Yuma","AZ",213787,0.927,43663,954
"81",5001,"Arkansas","AR",17486,0.80425,3579,62
"82",5003,"Ashley","AR",19657,0.79,3282,53
"83",5005,"Baxter","AR",41932,0.692,6489,196
"84",5007,"Benton","AR",279141,0.813,45190,663
"85",5009,"Boone","AR",37432,0.655,6783,133
"86",5011,"Bradley","AR",10763,0.696,2048,42
"87",5013,"Calhoun","AR",5189,0.64925,611,8
"88",5015,"Carroll","AR",28380,0.74825,4518,79
"89",5017,"Chicot","AR",10118,0.71875,2050,47
"90",5019,"Clark","AR",22320,0.754,3430,65
"91",5021,"Clay","AR",14551,0.686,2898,77
"92",5023,"Cleburne","AR",24919,0.803,4159,99
"93",5025,"Cleveland","AR",7956,0.73275,1476,33
"94",5027,"Columbia","AR",23457,0.6155,3464,75
"95",5029,"Conway","AR",20846,0.68375,3396,48
"96",5031,"Craighead","AR",110332,0.6755,23028,251
"97",5033,"Crawford","AR",63257,0.63375,11299,189
"98",5035,"Crittenden","AR",47955,0.79675,9166,186
"99",5037,"Cross","AR",16419,0.729,3092,70
"100",5039,"Dallas","AR",7009,0.66625,1159,19
"101",5041,"Desha","AR",11361,0.754,1985,35
"102",5043,"Drew","AR",18219,0.758,3015,56
"103",5045,"Faulkner","AR",126007,0.7735,21047,233
"104",5047,"Franklin","AR",17715,0.6225,2860,57
"105",5049,"Fulton","AR",12477,0.642,1993,73
"106",5051,"Garland","AR",99386,0.813,16484,411
"107",5053,"Grant","AR",18265,0.75675,2981,52
"108",5055,"Greene","AR",45325,0.66875,10730,130
"109",5057,"Hempstead","AR",21532,0.7545,3124,44
"110",5059,"Hot Spring","AR",33771,0.783,7926,113
"111",5061,"Howard","AR",13202,0.75875,2609,39
"112",5063,"Independence","AR",37825,0.65725,7167,167
"113",5065,"Izard","AR",13629,0.69925,2812,56
"114",5067,"Jackson","AR",16719,0.6955,4681,47
"115",5069,"Jefferson","AR",66824,0.80175,12607,234
"116",5071,"Johnson","AR",26578,0.622,4803,61
"117",5073,"Lafayette","AR",6624,0.721,877,28
"118",5075,"Lawrence","AR",16406,0.669,3582,62
"119",5077,"Lee","AR",8857,0.70975,2231,53
"120",5079,"Lincoln","AR",13024,0.80575,3787,58
"121",5081,"Little River","AR",12259,0.733,2150,84
"122",5083,"Logan","AR",21466,0.67375,3799,53
"123",5085,"Lonoke","AR",73309,0.776,12812,178
"124",5087,"Madison","AR",16576,0.751,2823,44
"125",5089,"Marion","AR",16694,0.6585,2514,68
"126",5091,"Miller","AR",43257,0.73525,6778,151
"127",5093,"Mississippi","AR",40651,0.74725,8928,155
"128",5095,"Monroe","AR",6701,0.70475,1225,26
"129",5097,"Montgomery","AR",8986,0.73725,1185,50
"130",5099,"Nevada","AR",8252,0.723,1438,42
"131",5101,"Newton","AR",7753,0.68075,1314,43
"132",5103,"Ouachita","AR",23382,0.68475,3564,88
"133",5105,"Perry","AR",10455,0.732,1641,24
"134",5107,"Phillips","AR",17782,0.76625,3306,79
"135",5109,"Pike","AR",10718,0.74825,1802,38
"136",5111,"Poinsett","AR",23528,0.70725,5283,103
"137",5113,"Polk","AR",19964,0.6315,3040,120
"138",5115,"Pope","AR",64072,0.644,12609,162
"139",5117,"Prairie","AR",8062,0.68975,1321,30
"140",5119,"Pulaski","AR",391911,0.845,61443,952
"141",5121,"Randolph","AR",17958,0.6655,3611,65
"142",5125,"Saline","AR",122437,0.771,19454,253
"143",5127,"Scott","AR",10281,0.64725,1796,32
"144",5129,"Searcy","AR",7881,0.73425,1380,27
"145",5131,"Sebastian","AR",127827,0.642,23877,413
"146",5133,"Sevier","AR",17007,0.6915,4178,62
"147",5135,"Sharp","AR",17442,0.649,3245,76
"148",5137,"Stone","AR",12506,0.7515,2003,46
"149",5139,"Union","AR",38682,0.63425,6179,148
"150",5141,"Van Buren","AR",16545,0.806,2415,44
"151",5143,"Washington","AR",239187,0.848,46682,505
"152",5145,"White","AR",78753,0.78825,14343,208
"153",5147,"Woodruff","AR",6320,0.74325,1160,24
"154",5149,"Yell","AR",21341,0.7035,4880,87
"155",6001,"Alameda","CA",1671329,0.91675,127820,1531
"156",6003,"Alpine","CA",1129,0.81975,110,0
"157",6005,"Amador","CA",39752,0.84875,5897,69
"158",6007,"Butte","CA",219186,0.84525,25979,328
"159",6009,"Calaveras","CA",45905,0.82275,4605,91
"160",6011,"Colusa","CA",21547,0.867,3341,21
"161",6013,"Contra Costa","CA",1153526,0.92025,105876,1065
"162",6015,"Del Norte","CA",27812,0.78375,3926,43
"163",6017,"El Dorado","CA",192843,0.85875,18826,171
"164",6019,"Fresno","CA",999101,0.893,159925,2335
"165",6021,"Glenn","CA",28393,0.828,4634,53
"166",6023,"Humboldt","CA",135558,0.92725,10644,120
"167",6025,"Imperial","CA",181215,0.94825,40303,789
"168",6027,"Inyo","CA",18039,0.93925,2643,47
"169",6029,"Kern","CA",900202,0.86025,161083,1897
"170",6031,"Kings","CA",152940,0.865,36000,377
"171",6033,"Lake","CA",64386,0.9555,7144,115
"172",6035,"Lassen","CA",30573,0.74875,8043,61
"173",6037,"Los Angeles","CA",10039107,0.912,1564583,27441
"174",6039,"Madera","CA",157327,0.88275,26851,317
"175",6041,"Marin","CA",258826,0.93075,19116,249
"176",6043,"Mariposa","CA",17203,0.8485,1671,18
"177",6045,"Mendocino","CA",86749,0.93925,8910,103
"178",6047,"Merced","CA",277680,0.866,46364,691
"179",6049,"Modoc","CA",8841,0.82025,1093,11
"180",6051,"Mono","CA",14444,0.945,1976,4
"181",6053,"Monterey","CA",434061,0.90325,53830,641
"182",6055,"Napa","CA",137744,0.90775,13712,107
"183",6057,"Nevada","CA",99755,0.87025,10354,108
"184",6059,"Orange","CA",3175692,0.89925,340384,5851
"185",6061,"Placer","CA",398329,0.8855,43403,486
"186",6063,"Plumas","CA",18807,0.82375,2023,13
"187",6065,"Riverside","CA",2470546,0.914,397009,5529
"188",6067,"Sacramento","CA",1552058,0.883,172460,2505
"189",6069,"San Benito","CA",62808,0.90275,8090,79
"190",6071,"San Bernardino","CA",2180085,0.898,384019,6017
"191",6073,"San Diego","CA",3338330,0.91725,420200,4399
"192",6075,"San Francisco","CA",881549,0.928,58498,679
"193",6077,"San Joaquin","CA",762148,0.849,109596,1858
"194",6079,"San Luis Obispo","CA",283111,0.89625,32267,367
"195",6081,"San Mateo","CA",766573,0.91275,57703,635
